,Country,CO2_capita_2015,CO2_capita_2016,CO2_capita_2017,CO2_total_2015,CO2_total_2016,CO2_total_2017
0,Albania,1.328,1.278,1.511,3824.801,3674.183,4342.011
1,Algeria,3.271,3.143,3.158,130426.655,127640.064,130493.653
2,Angola,0.773,0.745,0.605,21532.32,21458.342,18021.394
3,Argentina,4.385,4.345,4.142,190384.899,190512.04,183375.203
4,Armenia,1.612,1.652,1.763,4702.13,4833.071,5165.593
5,Australia,15.697,15.786,15.632,373846.773,381878.629,384583.857
6,Austria,7.21,7.099,7.376,62221.17,62048.731,64872.394
7,Azerbaijan,3.193,3.219,3.124,30806.159,31409.359,30805.851
8,Bahrain,21.919,20.799,19.969,30072.802,29638.922,29813.834
9,Bangladesh,0.44,0.448,0.475,70895.346,72943.639,78270.17
10,Belarus,5.545,5.584,5.687,52618.265,53062.826,54070.453
11,Belgium,8.257,8.139,7.963,92789.797,91932.287,90368.188
12,Benin,0.498,0.607,0.605,5261.645,6602.646,6763.074
13,Bolivia (Plurin. State of),1.688,1.848,1.981,18099.998,20126.218,21899.18
14,Bosnia and Herzegovina,5.46,6.261,6.367,19306.465,22019.403,22327.978
15,Botswana,3.2,3.102,3.367,7068.888,6979.639,7717.409
16,Brazil,2.203,2.015,2.043,453633.529,418523.728,427632.717
17,Brunei Darussalam,14.301,15.157,15.641,5977.692,6411.543,6710.178
18,Bulgaria,6.09,5.689,6.051,43715.357,40548.756,42819.932
19,Cambodia,0.516,0.589,0.672,8011.977,9287.497,10762.923
20,Cameroon,0.26,0.26,0.256,5944.767,6103.656,6152.919
21,Canada,15.619,15.179,14.992,557660.685,548095.275,547798.641
22,Chile,4.494,4.664,4.648,81092.176,85245.52,86087.14
23,China,6.637,6.575,6.678,9101375.985,9064428.642,9257933.9
24,"China, Hong Kong SAR",6.023,6.096,5.957,43917.31,44728.626,44034.675
25,Colombia,1.609,1.803,1.535,77609.792,87720.859,75291.911
26,Congo,0.633,0.581,0.541,3164.794,2978.36,2847.335
27,Costa Rica,1.443,1.542,1.546,6940.23,7488.019,7584.411
28,Croatia,3.69,3.799,3.925,15512.642,15858.564,16193.172
29,Cuba,2.342,2.422,2.283,26841.68,27791.025,26215.665
30,Curaçao,29.691,25.942,23.28,4691.214,4150.776,3748.132
31,Cyprus,6.967,7.393,7.448,5900.866,6269.2,6367.874
32,Czechia,9.43,9.575,9.602,99424.53,101157.395,101682.752
33,Côte d’Ivoire,0.413,0.405,0.421,9543.523,9586.785,10234.205
34,Dem. People's Rep. Korea,0.893,1.002,0.768,22545.503,25426.726,19579.698
35,Dem. Rep. of the Congo,0.036,0.025,0.027,2734.926,1979.013,2201.742
36,Denmark,5.623,5.845,5.421,31948.409,33486.945,31263.57
37,Dominican Republic,2.044,2.116,1.99,21519.849,22534.306,21430.38
38,Ecuador,2.314,2.16,2.063,37357.272,35393.138,34299.317
39,Egypt,2.128,2.133,2.145,199544.529,204112.697,209219.059
40,El Salvador,1.012,1.004,0.899,6389.271,6372.143,5735.668
41,Eritrea,0.122,0.121,0.125,590.108,599.637,632.105
42,Estonia,11.537,11.748,12.137,15147.858,15460.878,15972.029
43,Ethiopia,0.101,0.116,0.124,10059.891,11843.085,13059.815
44,Finland,7.73,8.212,7.734,42365.643,45127.234,42598.175
45,France,4.5,4.515,4.565,299640.583,301695.852,306123.541
46,Gabon,1.685,1.696,1.663,3252.522,3357.483,3367.911
47,Georgia,2.255,2.369,2.346,8383.116,8809.005,8720.3
48,Germany,8.933,8.919,8.696,729684.098,734487.052,718794.085
49,Ghana,0.511,0.46,0.478,14088.758,12967.698,13779.635
50,Gibraltar,17.342,18.991,20.703,589.619,645.692,703.9
51,Greece,5.965,5.853,5.878,64543.218,63076.623,63213.31
52,Guatemala,0.933,0.981,0.928,15164.376,16261.135,15703.161
53,Haiti,0.3,0.3,0.3,3208.933,3250.079,3293.125
54,Honduras,1.067,1.002,1.017,9558.552,9132.171,9426.74
55,Hungary,4.339,4.461,4.678,42708.351,43777.954,45783.636
56,Iceland,6.216,6.164,6.336,2057.458,2064.863,2173.307
57,India,1.548,1.554,1.614,2026704.698,2057682.254,2161567.072
58,Indonesia,1.778,1.74,1.88,459139.082,454267.119,496406.275
59,Iran (Islamic Republic of),6.972,6.906,6.987,553300.897,554410.488,567123.294
60,Iraq,3.621,3.772,3.655,130762.392,140337.13,139877.659
61,Ireland,7.526,7.762,7.439,35342.128,36863.114,35720.302
62,Israel,7.631,7.384,7.322,63927.754,63082.005,63766.189
63,Italy,5.428,5.371,5.31,329662.257,325657.168,321481.224
64,Jamaica,2.435,2.612,2.412,6992.686,7524.926,6971.666
65,Japan,9.092,9.035,8.938,1155666.505,1146887.524,1132435.4
66,Jordan,2.597,2.521,2.633,23785.053,23834.961,25550.14
67,Kazakhstan,14.009,14.327,14.179,245762.673,254927.792,255767.646
68,Kenya,0.312,0.336,0.327,14721.841,16266.163,16264.973
69,Kosovo,4.776,5.0,4.461,8605.689,9080.385,8168.55
70,Kuwait,23.282,22.99,21.615,91638.915,93178.766,89420.615
71,Kyrgyzstan,1.661,1.529,1.437,9896.806,9298.993,8909.263
72,Latvia,3.463,3.471,3.441,6845.608,6799.011,6679.644
73,Lebanon,4.208,4.238,4.428,24619.15,25460.51,26931.044
74,Libya,6.853,6.524,6.514,42725.711,41056.051,41528.35
75,Lithuania,3.632,3.748,3.831,10550.273,10750.005,10811.096
76,Luxembourg,15.474,14.558,14.458,8804.662,8501.982,8631.187
77,Malaysia,7.175,6.934,6.674,220437.513,216236.083,211046.967
78,Malta,3.705,2.976,3.261,1648.9,1354.078,1516.276
79,Mauritius,3.141,3.2,3.306,3967.535,4042.202,4182.138
80,Mexico,3.661,3.654,3.615,442417.19,446175.879,445991.937
81,Mongolia,5.75,5.94,6.267,17118.652,17981.117,19276.0
82,Montenegro,3.791,3.397,3.547,2358.285,2112.994,2206.233
83,Morocco,1.591,1.568,1.627,55371.267,55299.726,58149.86
84,Mozambique,0.222,0.293,0.257,6221.087,8445.417,7624.932
85,Myanmar,0.356,0.395,0.57,18671.324,20899.074,30404.919
86,Namibia,1.59,1.606,1.593,3858.399,3983.156,4037.15
87,Nepal,0.199,0.293,0.345,5694.237,8503.721,10113.953
88,Netherlands,9.319,9.28,9.081,157858.417,158034.178,155574.278
89,New Zealand,6.744,6.429,6.673,31258.942,30434.542,32241.597
90,Nicaragua,0.831,0.831,0.821,5054.947,5112.604,5106.281
91,Niger,0.098,0.094,0.095,1953.955,1951.763,2048.704
92,Nigeria,0.456,0.456,0.45,82588.782,84738.062,85988.513
93,North Macedonia,3.431,3.339,3.572,7133.668,6947.674,7440.699
94,Norway,6.914,6.738,6.587,35890.983,35281.342,34760.858
95,Oman,15.151,14.268,14.128,63636.288,63137.552,65498.56
96,Pakistan,0.796,0.85,0.931,150688.547,164184.363,183447.068
97,Panama,2.545,2.526,2.345,10102.101,10191.378,9612.198
98,Paraguay,0.881,1.012,1.124,5849.183,6803.062,7654.689
99,Peru,1.585,1.642,1.545,49724.806,52186.698,49693.643
100,Philippines,1.021,1.111,1.206,103891.197,114751.784,126487.694
101,Poland,7.352,7.63,7.96,282708.42,293211.41,305841.991
102,Portugal,4.531,4.496,4.928,46930.899,46422.53,50757.815
103,Qatar,31.283,30.772,30.359,77645.489,79084.102,80116.551
104,Republic of Korea,11.409,11.498,11.663,582047.107,589212.169,600034.367
105,Republic of Moldova,2.132,2.171,2.12,7578.52,7710.688,7526.673
106,Romania,3.51,3.45,3.614,69558.57,67962.637,70788.76
107,Russian Federation,10.649,10.465,10.636,1534458.233,1510557.598,1536878.825
108,Saudi Arabia,16.844,16.324,16.157,531554.326,526887.374,532181.611
109,Senegal,0.502,0.529,0.524,7516.857,8159.977,8311.532
110,Serbia,6.266,6.443,6.569,44459.955,45474.363,46129.569
111,Singapore,8.22,8.216,8.447,45496.01,46065.234,47407.144
112,Slovakia,5.431,5.553,5.924,29444.719,30159.706,32212.012
113,Slovenia,6.207,6.579,6.491,12805.132,13585.628,13410.666
114,South Africa,7.565,7.474,7.435,418258.797,418658.117,421682.392
115,South Sudan,0.168,0.144,0.123,2001.328,1765.239,1549.031
116,Spain,5.324,5.111,5.446,247067.141,237400.337,253423.277
117,Sri Lanka,0.93,0.986,1.077,19489.878,20898.562,23103.271
118,Sudan,0.423,0.478,0.463,16354.488,18922.66,18777.895
119,Suriname,3.731,3.423,3.425,2063.356,1909.88,1928.134
120,Sweden,3.787,3.828,3.743,37112.379,37989.269,37643.785
121,Switzerland,4.507,4.521,4.394,37323.113,37851.822,37135.572
122,Syrian Arab Republic,1.274,1.253,1.261,23872.123,23086.043,23031.045
123,Tajikistan,0.493,0.621,0.655,4211.795,5428.489,5843.657
124,Thailand,3.613,3.545,3.538,248039.678,244124.879,244254.785
125,Togo,0.257,0.263,0.267,1906.291,1997.993,2082.434
126,Trinidad and Tobago,15.647,12.789,13.154,21280.034,17457.045,18007.573
127,Tunisia,2.272,2.211,2.268,25614.897,25212.344,26156.972
128,Turkey,4.078,4.275,4.714,318973.757,338874.454,378631.09
129,Turkmenistan,12.418,12.179,11.983,69105.29,68972.285,68998.881
130,Ukraine,4.154,4.391,3.821,187590.314,197626.378,171300.035
131,United Arab Emirates,20.382,20.72,20.905,186575.572,192070.738,196510.174
132,United Kingdom,6.053,5.675,5.432,394115.172,372557.789,358731.281
133,United Rep. of Tanzania,0.194,0.174,0.177,10472.963,9676.776,10131.79
134,United States of America,15.338,14.949,14.606,4928610.664,4838476.243,4761301.727
135,Uruguay,1.857,1.837,1.699,6374.932,6325.631,5872.957
136,Uzbekistan,2.945,2.554,2.506,92161.645,81343.275,81156.397
137,Venezuela (Boliv. Rep. of),4.511,4.035,3.556,140538.724,127366.139,113717.543
138,Viet Nam,1.951,2.047,2.002,182588.799,193611.788,191243.601
139,Yemen,0.433,0.34,0.316,11662.059,9389.446,8919.998
140,Zambia,0.216,0.225,0.351,3475.653,3731.899,6007.872
141,Zimbabwe,0.749,0.642,0.588,11822.362,10368.9,9714.938
